category,solver,problem_size,lcp_dimension,contact_count,solver_identity_schema_version,solver_manifest_index,solver_family_pivoting,solver_family_projection,solver_family_newton,solver_family_other,time_ns,contract_ok,iterations,residual,complementarity,bound_violation,solver_supports_standard,solver_supports_boxed,solver_supports_friction_index,solver_supports_problem,problem_type_standard,problem_type_boxed,problem_type_friction_index,problem_type_invalid
Boxed,SymmetricPsor,24,24,,1,6,0,1,0,0,3443.4671387517669,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,1,0,0
Boxed,SymmetricPsor,48,48,,1,6,0,1,0,0,13625.791966717674,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,0,1,0,0
Boxed,Tgs,12,12,,1,14,0,1,0,0,1092.1442189538159,1,6,1.3396581621805126e-08,1.3396581621805126e-08,0,1,1,1,1,0,1,0,0
Boxed,Tgs,24,24,,1,14,0,1,0,0,2735.4432181923949,1,6,1.4804876329321814e-06,1.4804876329321814e-06,0,1,1,1,1,0,1,0,0
Boxed,Tgs,48,48,,1,14,0,1,0,0,9178.0716547093598,1,7,1.609798609081281e-06,1.609798609081281e-06,0,1,1,1,1,0,1,0,0
FrictionIndex,Admm,4,12,4,1,22,0,0,0,1,1300.8598234238964,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,0,1,0
FrictionIndex,Admm,16,48,16,1,22,0,0,0,1,12941.931673228572,1,0,5.6843418860808015e-14,5.6843418860808015e-14,0,1,1,1,1,0,0,1,0
FrictionIndex,Admm,64,192,64,1,22,0,0,0,1,289840.33944189397,1,5,5.9277175523675396e-07,5.9277175523675396e-07,0,1,1,1,1,0,0,1,0
FrictionIndex,Apgd,4,12,4,1,13,0,1,0,0,1260.2744775247695,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,0,1,0
FrictionIndex,Apgd,16,48,16,1,13,0,1,0,0,12870.14626126825,1,0,5.6843418860808015e-14,5.6843418860808015e-14,0,1,1,1,1,0,0,1,0
FrictionIndex,Apgd,64,192,64,1,13,0,1,0,0,265063.77927215525,1,0,2.2737367544323206e-13,2.2737367544323206e-13,0,1,1,1,1,0,0,1,0
